Designator,Mid X,Mid Y,Rotation,Layer
C1,53.475,-37.71,0,Top
C2,52.475,-81.21,180,Top
D1,72.2,-31.71,0,Top
D10,87.2,-36.71,0,Top
D11,87.2,-49.71,0,Top
D12,87.25,-54.71,0,Top
D13,87.2,-34.21,0,Top
D14,87.2,-39.21,0,Top
D15,87.2,-52.21,0,Top
D16,87.2,-57.21,0,Top
D17,102.2,-31.71,0,Top
D18,102.2,-36.71,0,Top
D19,102.2,-49.71,0,Top
D2,72.2,-34.21,0,Top
D20,102.2,-54.71,0,Top
D21,102.2,-34.21,0,Top
D22,102.2,-39.21,0,Top
D23,102.25,-52.21,0,Top
D24,102.25,-57.21,0,Top
D25,117.2,-31.71,0,Top
D26,117.2,-36.71,0,Top
D27,117.2,-49.71,0,Top
D28,117.2,-54.71,0,Top
D29,117.2,-34.21,0,Top
D3,72.2,-36.71,0,Top
D30,117.2,-39.21,0,Top
D31,117.2,-52.21,0,Top
D32,117.2,-57.21,0,Top
D33,72.2,-71.71,0,Top
D34,72.2,-76.71,0,Top
D35,72.2,-89.71,0,Top
D36,72.2,-94.71,0,Top
D37,72.2,-74.21,0,Top
D38,72.2,-79.21,0,Top
D39,72.2,-92.21,0,Top
D4,72.2,-39.21,0,Top
D40,72.2,-97.21,0,Top
D41,87.2,-71.71,0,Top
D42,87.2,-76.71,0,Top
D43,87.2,-89.71,0,Top
D44,87.2,-94.71,0,Top
D45,87.2,-74.21,0,Top
D46,87.2,-79.21,0,Top
D47,87.2,-92.21,0,Top
D48,87.2,-97.21,0,Top
D49,102.2,-71.71,0,Top
D5,72.2,-49.71,0,Top
D50,102.2,-76.71,0,Top
D51,102.2,-89.71,0,Top
D52,102.2,-94.71,0,Top
D53,102.2,-74.21,0,Top
D54,102.2,-79.21,0,Top
D55,102.2,-92.21,0,Top
D56,102.2,-97.21,0,Top
D57,117.2,-71.71,0,Top
D58,117.2,-76.71,0,Top
D59,117.2,-89.71,0,Top
D6,72.2,-54.71,0,Top
D60,117.2,-94.71,0,Top
D61,117.2,-74.21,0,Top
D62,117.2,-79.21,0,Top
D63,117.2,-92.21,0,Top
D64,117.2,-97.21,0,Top
D7,72.2,-52.21,0,Top
D8,72.2,-57.21,0,Top
D9,87.2,-31.71,0,Top
R1,54.925,-91.21,0,Top
R2,54.925,-89.21,0,Top
R3,54.925,-87.21,0,Top
R4,54.925,-85.21,0,Top
R5,40.425,-85.21,180,Top
R6,40.425,-87.21,180,Top
R7,40.425,-89.21,180,Top
R8,40.425,-91.21,180,Top
U1,49.775,-45.075,270,Top
U2,47.775,-88.345,270,Top
